multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,1,1,1
multiple,1300,0.9977009897828862,1,1
multiple,1400,0.9953910590464706,1,1
multiple,1500,0.9870115661144108,0.995560482877556,1
multiple,1600,0.9850733429626063,0.9935064935064936,1
multiple,1700,0.9785200297687787,0.9893617021276596,0.9978950855399368
multiple,1800,0.9689571815718157,0.9829424307036247,0.9935924964605947
multiple,1900,0.9609736967957915,0.9767981438515081,0.9889646225738941
multiple,2000,0.9370749537761343,0.9570135746606335,0.9762936132740082
multiple,2100,0.9105079284679132,0.9363636363636364,0.9595145339580585
multiple,2200,0.8971421407731583,0.9230769230769231,0.9492019335552824
multiple,2300,0.8615978130016052,0.8918918918918919,0.922079365079365
multiple,2400,0.8280864299250227,0.8605664488017429,0.8942731277533039
multiple,2500,0.8095228337236534,0.8460727036676403,0.8790676899039566
multiple,2600,0.7737020090116928,0.8130532706619663,0.8488901531728665
multiple,2700,0.7439282684723566,0.7873303167420814,0.8255364565335439
multiple,2800,0.7206677043661667,0.7645163975747036,0.806008402535502
multiple,2900,0.6811184085768863,0.7235045098706603,0.7647123323013415
multiple,3000,0.6355531453362256,0.6816143497757847,0.7272805139186296
multiple,3100,0.612046356885523,0.6598869277440707,0.7072599531615925
multiple,3200,0.5675635336829367,0.6177495223459046,0.6651555693186232
multiple,3300,0.5308295602871594,0.5817556537665234,0.6308770114013099
multiple,3400,0.5130851730551512,0.5635103926096998,0.6129069166605152
multiple,3500,0.46550569747523646,0.5179372197309418,0.5695406480800153
multiple,3600,0.43207855761755737,0.4842105263157895,0.5349452001554605
multiple,3700,0.41577572022470816,0.4657685445583477,0.5161529271206691
multiple,3800,0.381038362701909,0.43067226890756305,0.4771051267281106
multiple,3900,0.35208267937219734,0.40183702953800077,0.4508261480960663
multiple,4000,0.33901361325241924,0.38842911615341214,0.436370709382151
multiple,4100,0.3082023083623694,0.3578924858534018,0.40554705256792545
multiple,4200,0.28482006259076326,0.3292797121805771,0.37557881863892595
multiple,4300,0.2708306277056277,0.3167902655814949,0.3607642335359393
multiple,4400,0.24662873692077728,0.29196949891067536,0.3362255965292842
multiple,4500,0.22894142444508053,0.27374317021765404,0.3205430941699765
multiple,4600,0.21926106148732863,0.26222222222222225,0.3062578624733476
multiple,4700,0.2021966575091575,0.24485082716689446,0.2897639796659405
