replicate,dif,multiplicity,log10_SpVL
1,-0.0015670158675940016,log10_SpVL_single,4.134833686423145
1,-0.0015670158675940016,log10_SpVL_multiple,4.133266670555551
2,0.004452793587984338,log10_SpVL_single,4.13391583657611
2,0.004452793587984338,log10_SpVL_multiple,4.138368630164094
3,0.005399265837076506,log10_SpVL_single,4.13374162684864
3,0.005399265837076506,log10_SpVL_multiple,4.139140892685717
4,-0.04876828437716174,log10_SpVL_single,4.141779728188967
4,-0.04876828437716174,log10_SpVL_multiple,4.093011443811805
5,0.0056225645294949445,log10_SpVL_single,4.133797820676681
5,0.0056225645294949445,log10_SpVL_multiple,4.139420385206176
6,-0.033188954984348484,log10_SpVL_single,4.139668606408016
6,-0.033188954984348484,log10_SpVL_multiple,4.106479651423667
7,-0.08047633388140074,log10_SpVL_single,4.146625025964484
7,-0.08047633388140074,log10_SpVL_multiple,4.066148692083083
8,0.02242425262368375,log10_SpVL_single,4.131514641279575
8,0.02242425262368375,log10_SpVL_multiple,4.153938893903259
9,-0.02497217871970303,log10_SpVL_single,4.138455040828409
9,-0.02497217871970303,log10_SpVL_multiple,4.113482862108706
10,-0.0495012487614952,log10_SpVL_single,4.141601974398807
10,-0.0495012487614952,log10_SpVL_multiple,4.092100725637311
11,0.04085719811240818,log10_SpVL_single,4.12885634597728
11,0.04085719811240818,log10_SpVL_multiple,4.169713544089688
12,0.0015375991270367706,log10_SpVL_single,4.134394729036287
12,0.0015375991270367706,log10_SpVL_multiple,4.135932328163324
13,0.06256156854345551,log10_SpVL_single,4.125561808335692
13,0.06256156854345551,log10_SpVL_multiple,4.1881233768791475
14,0.06467063986119381,log10_SpVL_single,4.124738745143119
14,0.06467063986119381,log10_SpVL_multiple,4.189409385004312
15,0.06193828977259308,log10_SpVL_single,4.126207760527773
15,0.06193828977259308,log10_SpVL_multiple,4.188146050300366
16,-7.672267256673138e-4,log10_SpVL_single,4.134712624198582
16,-7.672267256673138e-4,log10_SpVL_multiple,4.133945397472915
17,-0.03350175892487606,log10_SpVL_single,4.139608951628029
17,-0.03350175892487606,log10_SpVL_multiple,4.106107192703153
18,0.0058902210537263855,log10_SpVL_single,4.13377260318454
18,0.0058902210537263855,log10_SpVL_multiple,4.1396628242382665
19,-0.018400042383363235,log10_SpVL_single,4.137347477284847
19,-0.018400042383363235,log10_SpVL_multiple,4.118947434901484
20,-0.008564540527214781,log10_SpVL_single,4.135884354264789
20,-0.008564540527214781,log10_SpVL_multiple,4.127319813737574
21,-0.006504487839216644,log10_SpVL_single,4.135622531886537
21,-0.006504487839216644,log10_SpVL_multiple,4.1291180440473205
22,0.01563740037832062,log10_SpVL_single,4.13232972104125
22,0.01563740037832062,log10_SpVL_multiple,4.147967121419571
23,0.052731477972346674,log10_SpVL_single,4.127016562759896
23,0.052731477972346674,log10_SpVL_multiple,4.1797480407322425
24,-0.026042274731422843,log10_SpVL_single,4.138528198251355
24,-0.026042274731422843,log10_SpVL_multiple,4.112485923519932
25,-0.03232685864294904,log10_SpVL_single,4.139495636762798
25,-0.03232685864294904,log10_SpVL_multiple,4.107168778119849
26,0.0118964321435433,log10_SpVL_single,4.1328740798805415
26,0.0118964321435433,log10_SpVL_multiple,4.144770512024085
27,0.013826836788044972,log10_SpVL_single,4.132544432792955
27,0.013826836788044972,log10_SpVL_multiple,4.1463712695809996
28,-0.019066108178390273,log10_SpVL_single,4.137611741873149
28,-0.019066108178390273,log10_SpVL_multiple,4.118545633694759
29,0.011337316039865541,log10_SpVL_single,4.132795553215579
29,0.011337316039865541,log10_SpVL_multiple,4.144132869255444
30,-0.01719263475855204,log10_SpVL_single,4.136996702854382
30,-0.01719263475855204,log10_SpVL_multiple,4.11980406809583
31,0.03427080565996565,log10_SpVL_single,4.129541432054876
31,0.03427080565996565,log10_SpVL_multiple,4.163812237714842
32,-0.01935249458943744,log10_SpVL_single,4.1374708211284545
32,-0.01935249458943744,log10_SpVL_multiple,4.118118326539017
33,-0.02626799226082266,log10_SpVL_single,4.138469589060313
33,-0.02626799226082266,log10_SpVL_multiple,4.1122015967994905
34,0.0347164142432268,log10_SpVL_single,4.129353192915915
34,0.0347164142432268,log10_SpVL_multiple,4.164069607159142
35,-0.0055950334912964195,log10_SpVL_single,4.1353870333405975
35,-0.0055950334912964195,log10_SpVL_multiple,4.129791999849301
36,-0.020897336568689973,log10_SpVL_single,4.137605806475395
36,-0.020897336568689973,log10_SpVL_multiple,4.116708469906705
37,0.017384135576771875,log10_SpVL_single,4.132209272795656
37,0.017384135576771875,log10_SpVL_multiple,4.149593408372428
38,-0.052109854150668156,log10_SpVL_single,4.1427723808013255
38,-0.052109854150668156,log10_SpVL_multiple,4.090662526650657
39,-0.030566986684611663,log10_SpVL_single,4.139180414167363
39,-0.030566986684611663,log10_SpVL_multiple,4.1086134274827515
40,0.01626981921038073,log10_SpVL_single,4.1323054869066285
40,0.01626981921038073,log10_SpVL_multiple,4.148575306117009
41,0.033497577838960346,log10_SpVL_single,4.129591263003097
41,0.033497577838960346,log10_SpVL_multiple,4.163088840842057
42,-0.01948979828687758,log10_SpVL_single,4.137534879749039
42,-0.01948979828687758,log10_SpVL_multiple,4.118045081462162
43,-0.004160984445305438,log10_SpVL_single,4.135251982973215
43,-0.004160984445305438,log10_SpVL_multiple,4.13109099852791
44,-0.07327381999726512,log10_SpVL_single,4.145619721474095
44,-0.07327381999726512,log10_SpVL_multiple,4.0723459014768295
45,0.03250891187856553,log10_SpVL_single,4.1297600850631175
45,0.03250891187856553,log10_SpVL_multiple,4.162268996941683
46,-0.030712019572863625,log10_SpVL_single,4.139005250695361
46,-0.030712019572863625,log10_SpVL_multiple,4.108293231122498
47,0.02015168994609695,log10_SpVL_single,4.131640539658718
47,0.02015168994609695,log10_SpVL_multiple,4.151792229604815
48,0.0052610323338670995,log10_SpVL_single,4.133885143786506
48,0.0052610323338670995,log10_SpVL_multiple,4.139146176120373
49,0.0031838576593408163,log10_SpVL_single,4.1341510553724525
49,0.0031838576593408163,log10_SpVL_multiple,4.137334913031793
50,0.024354191727339547,log10_SpVL_single,4.130905199532596
50,0.024354191727339547,log10_SpVL_multiple,4.155259391259936
51,0.008760639044932184,log10_SpVL_single,4.133327570081735
51,0.008760639044932184,log10_SpVL_multiple,4.142088209126667
52,0.07769475052685948,log10_SpVL_single,4.124171156714649
52,0.07769475052685948,log10_SpVL_multiple,4.201865907241508
53,-0.03583533207562173,log10_SpVL_single,4.140072348553992
53,-0.03583533207562173,log10_SpVL_multiple,4.10423701647837
54,0.005360142269210222,log10_SpVL_single,4.133806295918357
54,0.005360142269210222,log10_SpVL_multiple,4.1391664381875675
55,0.019174759262019947,log10_SpVL_single,4.131716657874137
55,0.019174759262019947,log10_SpVL_multiple,4.150891417136157
56,-0.015853910755240896,log10_SpVL_single,4.137034063705597
56,-0.015853910755240896,log10_SpVL_multiple,4.121180152950356
57,0.011231784235311792,log10_SpVL_single,4.132855596885287
57,0.011231784235311792,log10_SpVL_multiple,4.144087381120599
58,-0.033245749918279444,log10_SpVL_single,4.139794483855981
58,-0.033245749918279444,log10_SpVL_multiple,4.106548733937702
59,0.017534459606656227,log10_SpVL_single,4.1319412742201616
59,0.017534459606656227,log10_SpVL_multiple,4.149475733826818
60,-0.07962936294277423,log10_SpVL_single,4.145375545058433
60,-0.07962936294277423,log10_SpVL_multiple,4.065746182115658
61,0.021512837330114998,log10_SpVL_single,4.13143339879763
