multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,0.9991416161399961,1,1
multiple,1200,0.9991416161399961,1,1
multiple,1300,0.9982436780738946,0.9992091734627508,1
multiple,1400,0.9949281487743026,0.9976047900374565,1
multiple,1500,0.9883028093883357,0.9934720511369312,0.9975768147159592
multiple,1600,0.9825720336787116,0.9890939597315436,0.9942635823875577
multiple,1700,0.9734425532772026,0.9819781154545103,0.9888002201203784
multiple,1800,0.9541352016495576,0.9653896328910088,0.9744000132122214
multiple,1900,0.9442121562542212,0.9563812600969306,0.9673055805773602
multiple,2000,0.9180316884971305,0.9329539568611491,0.9466127910185467
multiple,2100,0.8895476148833107,0.9067692924670954,0.9230788069073784
multiple,2200,0.8722870947923067,0.8900694887944142,0.9085682589297104
multiple,2300,0.8321041301041301,0.8521184733113953,0.8705104015481373
multiple,2400,0.7861332974843259,0.8074264635660395,0.8287010632911392
multiple,2500,0.7600283907960779,0.7843136572365839,0.806404669527897
multiple,2600,0.7128227661411727,0.7380762814680013,0.7611308975561286
multiple,2700,0.6696623260779955,0.6955640696871134,0.7216149808619832
multiple,2800,0.6505976262369577,0.6765690575848756,0.7025152908927563
multiple,2900,0.6011657773101349,0.6287486879070272,0.6556839610190072
multiple,3000,0.5644873746324987,0.5923384746679988,0.6194451339517707
multiple,3100,0.5393080709282515,0.5677761965001054,0.59330073278706
multiple,3200,0.4925475111973555,0.5220283684021345,0.5500860405643162
multiple,3300,0.45316603289503826,0.48145128048294017,0.5101069410815173
multiple,3400,0.4329688670794247,0.4621363571151791,0.4908137060034124
multiple,3500,0.3956173888416879,0.4232823367669667,0.45147200739401683
multiple,3600,0.362644667976561,0.39053491693674286,0.41851576311653643
multiple,3700,0.34713911496661637,0.37567192244114817,0.404016
multiple,3800,0.3141354679154937,0.34147414130569664,0.3690417942958274
multiple,3900,0.2879557270138698,0.31301057582467645,0.3392191021721641
multiple,4000,0.2745607287449393,0.30061040307983644,0.32667879440433506
multiple,4100,0.25466475120804494,0.27906025196970274,0.3057171079205376
multiple,4200,0.2327270194461194,0.255047447844058,0.2813287969497195
multiple,4300,0.2198625045017235,0.2437080359782104,0.2693951898871506
multiple,4400,0.1981881382773052,0.22149302707136997,0.24611824212117128
multiple,4500,0.18151555921964008,0.20399036659357572,0.2286498302772139
multiple,4600,0.17351181167318114,0.19536451783534797,0.2194212771306232
