multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,0.9983374619238746,1,1
multiple,1300,0.9959577327786213,0.99836867862969,1
multiple,1400,0.9910276592202949,0.9952248301232841,0.9984228851803915
multiple,1500,0.9834295788410352,0.9895916733386709,0.9950130425784347
multiple,1600,0.978920152456162,0.9856858824288278,0.99168860635297
multiple,1700,0.96644190608435,0.9764419015943406,0.9848008464598249
multiple,1800,0.943133342963121,0.9559001689674287,0.9672001526859749
multiple,1900,0.9327311131523119,0.9454763323506659,0.9584423404728378
multiple,2000,0.8994388628581726,0.9152681210736109,0.9314051036682615
multiple,2100,0.8682424028506117,0.8847267644624175,0.902419551534225
multiple,2200,0.8454541062801932,0.8648212271973466,0.8843983806085278
multiple,2300,0.8027466313490084,0.8247210477142806,0.8452397181807767
multiple,2400,0.7506111394198421,0.7762445940461028,0.8006459535247435
multiple,2500,0.7243062044304753,0.7508417603845456,0.7761953489552527
multiple,2600,0.6765166238084106,0.7017327027562446,0.7290284190651442
multiple,2700,0.6301913770317955,0.6562116086561104,0.6842127174722819
multiple,2800,0.6041490360808018,0.6307821698906644,0.6594030405801437
multiple,2900,0.5551913471560793,0.5836209666861067,0.6129162435887422
multiple,3000,0.510569105691057,0.5368341342170672,0.5666390053087454
multiple,3100,0.4908644416126532,0.5171999632661629,0.5485724399494311
multiple,3200,0.44443639291465376,0.4704944178628389,0.49880123475488813
multiple,3300,0.4057507434441741,0.43205379667735244,0.46147468109779666
multiple,3400,0.3866435724374143,0.4122448979591837,0.4408646020789127
multiple,3500,0.35184863523573207,0.37716791979949876,0.4047897180544105
multiple,3600,0.31340636807636657,0.3398120726535031,0.36539155848349797
multiple,3700,0.2992564925881059,0.32444432690386354,0.3489124360092102
multiple,3800,0.2708686487539568,0.2960414220914776,0.31978589839527727
multiple,3900,0.24313235215754264,0.26682794503664353,0.2902454831029032
multiple,4000,0.23083010708135335,0.2546634716264776,0.2772568955638444
multiple,4100,0.21108334135494677,0.2341880341880342,0.256628940963378
multiple,4200,0.1887838366497143,0.21203168600121813,0.23510030433749982
multiple,4300,0.18107754512747268,0.20206960539011493,0.22444668870992437
multiple,4400,0.1591581987075929,0.18113171040596637,0.20358365511141793
multiple,4500,0.1430864262710522,0.16359998233589826,0.18521742405087124
multiple,4600,0.1379877891478201,0.1578512396694215,0.17880897731630674
