multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,1,1,1
multiple,1200,1,1,1
multiple,1300,0.9983179142136249,1,1
multiple,1400,0.99669131554901,0.9991525423728813,1
multiple,1500,0.9942758501115851,0.9974947803565675,1
multiple,1600,0.9902399585556193,0.9944267515923567,0.9983634716347483
multiple,1700,0.9868947956220684,0.9917661575175762,0.9960224328546196
multiple,1800,0.9777768595041322,0.9842584921292461,0.9904774114774115
multiple,1900,0.9693269211270233,0.9775966804979253,0.9851387846257789
multiple,2000,0.9523801691729323,0.962806342760731,0.9727089378521027
multiple,2100,0.9288026130653266,0.9420349009168885,0.9542078727955489
multiple,2200,0.9173547505126453,0.9313073369052769,0.9444989437285715
multiple,2300,0.8897305140961856,0.9058387445887446,0.9219858744592566
multiple,2400,0.8583026266322794,0.8771342606088368,0.8948263232326442
multiple,2500,0.8395639065601304,0.8585817315481818,0.8778089440264883
multiple,2600,0.8037953994645625,0.826232731672885,0.8464152761795167
multiple,2700,0.7641040130951933,0.7873469920883713,0.8106518167147538
multiple,2800,0.7421763590603225,0.7647306814800119,0.788594993345227
multiple,2900,0.700483684040186,0.7241519598215538,0.7491717167674018
multiple,3000,0.6540583912124688,0.6809643653453317,0.7063683784887906
multiple,3100,0.6330758720806114,0.6596712163180347,0.6845567442417468
multiple,3200,0.5913365606660875,0.6187318451260433,0.645375547396824
multiple,3300,0.5450204795831894,0.5739522818773812,0.601484323771038
multiple,3400,0.5246270348071115,0.5525227460711332,0.579243771764635
multiple,3500,0.4871508586741948,0.5140529058382289,0.5422455978705978
multiple,3600,0.4503295230031047,0.4779441247228643,0.5065294104755043
multiple,3700,0.43242723926934457,0.46079190183146734,0.49086839913910174
multiple,3800,0.39819744854154154,0.42500971250971253,0.4559561832803869
multiple,3900,0.36238749946040555,0.3898368649280761,0.41935510820060906
multiple,4000,0.344235472435238,0.37382076424985655,0.4026848313584449
multiple,4100,0.31887790851938286,0.3454692556634304,0.37260266524981306
multiple,4200,0.29524983001124705,0.3212966580007274,0.34943906539532943
multiple,4300,0.28200238274774014,0.3066884176182708,0.3349442446696451
multiple,4400,0.26129927646531415,0.28600352999167855,0.3124491588278428
multiple,4500,0.23919930434782607,0.26285523584912046,0.28951763169636996
multiple,4600,0.22697072155854095,0.2512117455138662,0.276207115735692
