replicate,dif,multiplicity,log10_SpVL
1,0.012537152730574874,log10_SpVL_single,4.166930828473324
1,0.012537152730574874,log10_SpVL_multiple,4.179467981203899
2,0.03320840161718941,log10_SpVL_single,4.164511985292409
2,0.03320840161718941,log10_SpVL_multiple,4.197720386909598
3,-0.020611018045819662,log10_SpVL_single,4.172105191254612
3,-0.020611018045819662,log10_SpVL_multiple,4.151494173208793
4,-4.000212371879641e-4,log10_SpVL_single,4.168969382748098
4,-4.000212371879641e-4,log10_SpVL_multiple,4.16856936151091
5,-0.02168026840994397,log10_SpVL_single,4.172083444437038
5,-0.02168026840994397,log10_SpVL_multiple,4.150403176027094
6,0.03707885413243961,log10_SpVL_single,4.163310360155076
6,0.03707885413243961,log10_SpVL_multiple,4.200389214287515
7,0.02727147001400354,log10_SpVL_single,4.164904529074936
7,0.02727147001400354,log10_SpVL_multiple,4.192175999088939
8,-0.005211892358031989,log10_SpVL_single,4.169686283916365
8,-0.005211892358031989,log10_SpVL_multiple,4.164474391558333
9,0.02098576793614093,log10_SpVL_single,4.165632177883113
9,0.02098576793614093,log10_SpVL_multiple,4.186617945819254
10,-0.0025931901433695614,log10_SpVL_single,4.1692660669653865
10,-0.0025931901433695614,log10_SpVL_multiple,4.166672876822017
11,0.05509709295993481,log10_SpVL_single,4.160625617750642
11,0.05509709295993481,log10_SpVL_multiple,4.215722710710577
12,0.05257573415553285,log10_SpVL_single,4.16130795124233
12,0.05257573415553285,log10_SpVL_multiple,4.213883685397863
13,-0.014100522791021142,log10_SpVL_single,4.170869259894717
13,-0.014100522791021142,log10_SpVL_multiple,4.156768737103696
14,0.011395248376135925,log10_SpVL_single,4.167235076994854
14,0.011395248376135925,log10_SpVL_multiple,4.17863032537099
15,0.021604735893551386,log10_SpVL_single,4.165826396316533
15,0.021604735893551386,log10_SpVL_multiple,4.187431132210085
16,0.02508432643592151,log10_SpVL_single,4.165233630384294
16,0.02508432643592151,log10_SpVL_multiple,4.190317956820215
17,0.01193968003528667,log10_SpVL_single,4.1671245426550545
17,0.01193968003528667,log10_SpVL_multiple,4.179064222690341
18,0.011404259669195227,log10_SpVL_single,4.167233754183244
18,0.011404259669195227,log10_SpVL_multiple,4.1786380138524395
19,-0.005913594897204,log10_SpVL_single,4.169804357168779
19,-0.005913594897204,log10_SpVL_multiple,4.163890762271575
20,0.010231855350346208,log10_SpVL_single,4.1673435477493905
20,0.010231855350346208,log10_SpVL_multiple,4.177575403099737
21,0.017950413732207515,log10_SpVL_single,4.166071445516101
21,0.017950413732207515,log10_SpVL_multiple,4.1840218592483085
22,0.04194684981460828,log10_SpVL_single,4.162414145999922
22,0.04194684981460828,log10_SpVL_multiple,4.204360995814531
23,-0.01843557151562436,log10_SpVL_single,4.1718622595314185
23,-0.01843557151562436,log10_SpVL_multiple,4.153426688015794
24,-0.04101585918850592,log10_SpVL_single,4.175191680984718
24,-0.04101585918850592,log10_SpVL_multiple,4.134175821796212
25,0.022000201211207937,log10_SpVL_single,4.165777043154628
25,0.022000201211207937,log10_SpVL_multiple,4.187777244365836
26,-0.012129630202476704,log10_SpVL_single,4.170676745423827
26,-0.012129630202476704,log10_SpVL_multiple,4.15854711522135
27,0.022147129220559947,log10_SpVL_single,4.165741937290976
27,0.022147129220559947,log10_SpVL_multiple,4.187889066511536
28,-0.031651969920159395,log10_SpVL_single,4.173807809439632
28,-0.031651969920159395,log10_SpVL_multiple,4.142155839519472
29,0.020776783376526886,log10_SpVL_single,4.165837938090909
29,0.020776783376526886,log10_SpVL_multiple,4.186614721467436
30,0.029305295222926908,log10_SpVL_single,4.16438054861627
30,0.029305295222926908,log10_SpVL_multiple,4.193685843839197
31,-0.04625608154933314,log10_SpVL_single,4.17566834524574
31,-0.04625608154933314,log10_SpVL_multiple,4.129412263696407
32,-0.016038375999822385,log10_SpVL_single,4.171246770852607
32,-0.016038375999822385,log10_SpVL_multiple,4.155208394852784
33,0.02480906462102972,log10_SpVL_single,4.16531370729856
33,0.02480906462102972,log10_SpVL_multiple,4.19012277191959
34,0.02229564286771346,log10_SpVL_single,4.165599224786046
34,0.02229564286771346,log10_SpVL_multiple,4.1878948676537595
35,0.14384849457927285,log10_SpVL_single,4.148437093713787
35,0.14384849457927285,log10_SpVL_multiple,4.29228558829306
36,0.04366552620309605,log10_SpVL_single,4.16272189147386
36,0.04366552620309605,log10_SpVL_multiple,4.2063874176769565
37,-0.020534825671330026,log10_SpVL_single,4.172119698367892
37,-0.020534825671330026,log10_SpVL_multiple,4.151584872696562
38,-0.014151459670101119,log10_SpVL_single,4.1711122030063725
38,-0.014151459670101119,log10_SpVL_multiple,4.156960743336271
39,0.009511788741902727,log10_SpVL_single,4.1674475375553985
39,0.009511788741902727,log10_SpVL_multiple,4.176959326297301
40,0.012218485521612976,log10_SpVL_single,4.167094649097342
40,0.012218485521612976,log10_SpVL_multiple,4.179313134618955
41,0.02463631941115718,log10_SpVL_single,4.165378214488277
41,0.02463631941115718,log10_SpVL_multiple,4.190014533899435
42,-0.01624738939529724,log10_SpVL_single,4.171428269374211
42,-0.01624738939529724,log10_SpVL_multiple,4.155180879978913
43,0.011805685562930712,log10_SpVL_single,4.167102933322659
43,0.011805685562930712,log10_SpVL_multiple,4.17890861888559
44,1.0541446208556238e-4,log10_SpVL_single,4.168892366716852
44,1.0541446208556238e-4,log10_SpVL_multiple,4.168997781178938
45,0.0682695056326521,log10_SpVL_single,4.159455140239394
45,0.0682695056326521,log10_SpVL_multiple,4.227724645872046
46,-0.018988018564725095,log10_SpVL_single,4.171701270673533
46,-0.018988018564725095,log10_SpVL_multiple,4.152713252108808
47,0.04002189627034003,log10_SpVL_single,4.163289382504424
47,0.04002189627034003,log10_SpVL_multiple,4.203311278774764
48,-0.0071956744786536575,log10_SpVL_single,4.169904165177882
48,-0.0071956744786536575,log10_SpVL_multiple,4.162708490699228
49,-4.307400402492334e-5,log10_SpVL_single,4.168914012198722
49,-4.307400402492334e-5,log10_SpVL_multiple,4.168870938194697
50,-0.022676647118345272,log10_SpVL_single,4.172193047589008
50,-0.022676647118345272,log10_SpVL_multiple,4.149516400470663
51,0.018313451986602836,log10_SpVL_single,4.166325174713497
51,0.018313451986602836,log10_SpVL_multiple,4.1846386267000995
52,0.03992645377852799,log10_SpVL_single,4.162931669892834
52,0.03992645377852799,log10_SpVL_multiple,4.202858123671362
53,-0.00970814051061275,log10_SpVL_single,4.17038584318037
53,-0.00970814051061275,log10_SpVL_multiple,4.160677702669758
54,-0.02668088723463402,log10_SpVL_single,4.172781700608174
54,-0.02668088723463402,log10_SpVL_multiple,4.14610081337354
55,-0.01982778192430068,log10_SpVL_single,4.171742197025145
55,-0.01982778192430068,log10_SpVL_multiple,4.151914415100844
56,0.010295333358663505,log10_SpVL_single,4.167323943579505
56,0.010295333358663505,log10_SpVL_multiple,4.177619276938168
57,-0.022406331342723185,log10_SpVL_single,4.172225701621972
57,-0.022406331342723185,log10_SpVL_multiple,4.149819370279249
58,-0.02708868473178061,log10_SpVL_single,4.173031919624298
