multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,0.9991364346778563,1,1
multiple,1200,0.9991364346778563,1,1
multiple,1300,0.9982964224872232,0.9992022336185817,1
multiple,1400,0.9938647606497883,0.9973867595818815,0.9992301710730949
multiple,1500,0.9880560758079642,0.9925527500698405,0.9974619718068322
multiple,1600,0.9821255653686605,0.9882402331209562,0.9934320704973677
multiple,1700,0.9715238103268018,0.9794238683127572,0.9861793795390622
multiple,1800,0.9550252575369073,0.9655744587135758,0.9755276325058169
multiple,1900,0.942160669506802,0.954262267383323,0.9665054565919546
multiple,2000,0.9174985803520727,0.9311489174271517,0.9451331344234751
multiple,2100,0.8864370306801116,0.9047619047619048,0.9213392822263115
multiple,2200,0.8697411188895062,0.8889806038241834,0.9066686274509803
multiple,2300,0.8283988106410092,0.8499786871270247,0.8696780581832104
multiple,2400,0.7834429670119193,0.8076923076923077,0.8288303267638184
multiple,2500,0.7658195934618608,0.7885735016769198,0.8121922562805133
multiple,2600,0.7195316503716201,0.7452440033085195,0.7696098464406613
multiple,2700,0.6727849546972857,0.6997526283240569,0.7286500170023048
multiple,2800,0.6486939632364035,0.6756646352234588,0.7045031465541084
multiple,2900,0.6071118353641223,0.6341366627951994,0.6633254741792753
multiple,3000,0.5590356936288686,0.5864069911888703,0.6153270243984355
multiple,3100,0.5376302328009186,0.5661824319640147,0.5935002030411045
multiple,3200,0.4953769533840783,0.52396316195225,0.5487246891460151
multiple,3300,0.45909189539240464,0.4854042395584443,0.5100990731056371
multiple,3400,0.438530434613666,0.4645187905887363,0.4902680847929406
multiple,3500,0.40506085099893246,0.43177107632853434,0.4581960531843502
multiple,3600,0.37349215766959815,0.39933444259567386,0.4274922457816912
multiple,3700,0.35950099647401507,0.38641182834475296,0.4139654026821647
multiple,3800,0.3285119977397025,0.3547177935086808,0.3817887224411579
multiple,3900,0.2977326196600011,0.3244921466688673,0.34939096331288555
multiple,4000,0.2863905741081496,0.31007421288179604,0.3355821340294301
multiple,4100,0.2597293775444487,0.28487634905345105,0.30966947038674975
multiple,4200,0.2349636718485812,0.2600671140939597,0.28449627161319857
multiple,4300,0.22249785245199158,0.24673163749270058,0.270658708578164
multiple,4400,0.20377878993174742,0.22742627941981391,0.25144961377707065
multiple,4500,0.18665606954253697,0.20944551941147577,0.2325658914728682
