replicate,dif,multiplicity,log10_SpVL
1,0.030688022664644876,log10_SpVL_single,4.0804686199035345
1,0.030688022664644876,log10_SpVL_multiple,4.111156642568179
2,-0.01369779195797527,log10_SpVL_single,4.084279198257749
2,-0.01369779195797527,log10_SpVL_multiple,4.070581406299774
3,0.016000802026955085,log10_SpVL_single,4.081573419476791
3,0.016000802026955085,log10_SpVL_multiple,4.097574221503746
4,-0.07779555255247139,log10_SpVL_single,4.090101302304589
4,-0.07779555255247139,log10_SpVL_multiple,4.012305749752118
5,-0.040531292720363155,log10_SpVL_single,4.086494878972048
5,-0.040531292720363155,log10_SpVL_multiple,4.045963586251685
6,-0.0645196153762031,log10_SpVL_single,4.088567662475062
6,-0.0645196153762031,log10_SpVL_multiple,4.024048047098859
7,-5.692155007244182e-4,log10_SpVL_single,4.083133064351273
7,-5.692155007244182e-4,log10_SpVL_multiple,4.0825638488505485
8,-0.056608510622798036,log10_SpVL_single,4.087435274422212
8,-0.056608510622798036,log10_SpVL_multiple,4.030826763799414
9,0.04394311672248197,log10_SpVL_single,4.0791835435589645
9,0.04394311672248197,log10_SpVL_multiple,4.1231266602814465
10,0.009094957778182255,log10_SpVL_single,4.082308528974068
10,0.009094957778182255,log10_SpVL_multiple,4.091403486752251
11,0.0477559231718887,log10_SpVL_single,4.079054089150456
11,0.0477559231718887,log10_SpVL_multiple,4.126810012322345
12,0.04071267428902825,log10_SpVL_single,4.079707735924953
12,0.04071267428902825,log10_SpVL_multiple,4.120420410213981
13,-0.04077874130585091,log10_SpVL_single,4.086507210323555
13,-0.04077874130585091,log10_SpVL_multiple,4.045728469017704
14,0.02820966393997093,log10_SpVL_single,4.080668042693224
14,0.02820966393997093,log10_SpVL_multiple,4.108877706633195
15,-0.001786125764223101,log10_SpVL_single,4.0832420138296595
15,-0.001786125764223101,log10_SpVL_multiple,4.081455888065436
16,0.0163760581518142,log10_SpVL_single,4.081684706867617
16,0.0163760581518142,log10_SpVL_multiple,4.098060765019431
17,0.04864736658366553,log10_SpVL_single,4.079272784785697
17,0.04864736658366553,log10_SpVL_multiple,4.127920151369363
18,-0.01620486368982732,log10_SpVL_single,4.084373132236733
18,-0.01620486368982732,log10_SpVL_multiple,4.068168268546906
19,0.003373805627739479,log10_SpVL_single,4.082779149785416
19,0.003373805627739479,log10_SpVL_multiple,4.086152955413155
20,-0.047671002388495864,log10_SpVL_single,4.087195119124092
20,-0.047671002388495864,log10_SpVL_multiple,4.039524116735596
21,0.006271970951161165,log10_SpVL_single,4.082541231012932
21,0.006271970951161165,log10_SpVL_multiple,4.0888132019640935
22,-0.06905500794610298,log10_SpVL_single,4.088924397923526
22,-0.06905500794610298,log10_SpVL_multiple,4.019869389977423
23,0.01102772626246118,log10_SpVL_single,4.082111676791206
23,0.01102772626246118,log10_SpVL_multiple,4.093139403053667
24,-0.04864744887356842,log10_SpVL_single,4.087299607403794
24,-0.04864744887356842,log10_SpVL_multiple,4.038652158530225
25,-0.019761335637782373,log10_SpVL_single,4.0849196526044285
25,-0.019761335637782373,log10_SpVL_multiple,4.065158316966646
26,0.011646718674057865,log10_SpVL_single,4.082088671281342
26,0.011646718674057865,log10_SpVL_multiple,4.0937353899554
27,0.045675755541457086,log10_SpVL_single,4.079143961252634
27,0.045675755541457086,log10_SpVL_multiple,4.124819716794091
28,-0.0039035231138182525,log10_SpVL_single,4.083433185780364
28,-0.0039035231138182525,log10_SpVL_multiple,4.079529662666546
29,0.039719721682353715,log10_SpVL_single,4.079392871028433
29,0.039719721682353715,log10_SpVL_multiple,4.119112592710787
30,-0.041912184022486976,log10_SpVL_single,4.08667222592501
30,-0.041912184022486976,log10_SpVL_multiple,4.044760041902523
31,-0.0641276611417485,log10_SpVL_single,4.088333947424065
31,-0.0641276611417485,log10_SpVL_multiple,4.0242062862823165
32,-0.03897180473320194,log10_SpVL_single,4.086582838468087
32,-0.03897180473320194,log10_SpVL_multiple,4.047611033734885
33,-0.028008366803820905,log10_SpVL_single,4.085435030964322
33,-0.028008366803820905,log10_SpVL_multiple,4.057426664160501
34,0.022713549665644983,log10_SpVL_single,4.080920975960335
34,0.022713549665644983,log10_SpVL_multiple,4.10363452562598
35,0.0024319825401688533,log10_SpVL_single,4.082861576761294
35,0.0024319825401688533,log10_SpVL_multiple,4.085293559301463
36,0.0033158299024460547,log10_SpVL_single,4.082797504838998
36,0.0033158299024460547,log10_SpVL_multiple,4.0861133347414444
37,0.022804745214609845,log10_SpVL_single,4.081059574030288
37,0.022804745214609845,log10_SpVL_multiple,4.103864319244898
38,-0.03261367178551122,log10_SpVL_single,4.085855657269853
38,-0.03261367178551122,log10_SpVL_multiple,4.053241985484342
39,-0.020335635277122677,log10_SpVL_single,4.084820497348005
39,-0.020335635277122677,log10_SpVL_multiple,4.0644848620708824
40,-0.002428422015904097,log10_SpVL_single,4.08329193472445
40,-0.002428422015904097,log10_SpVL_multiple,4.080863512708546
41,-0.04770205287142293,log10_SpVL_single,4.087207735155927
41,-0.04770205287142293,log10_SpVL_multiple,4.039505682284504
42,0.03055395015092177,log10_SpVL_single,4.080734660250233
42,0.03055395015092177,log10_SpVL_multiple,4.111288610401155
43,0.059669634623364054,log10_SpVL_single,4.078160750311657
43,0.059669634623364054,log10_SpVL_multiple,4.137830384935021
44,-0.05627998163495551,log10_SpVL_single,4.088406643431058
44,-0.05627998163495551,log10_SpVL_multiple,4.032126661796102
45,-0.021846645104819373,log10_SpVL_single,4.084972319692772
45,-0.021846645104819373,log10_SpVL_multiple,4.063125674587953
46,-0.05844665551888184,log10_SpVL_single,4.08805146088719
46,-0.05844665551888184,log10_SpVL_multiple,4.029604805368308
47,-0.041599561759888104,log10_SpVL_single,4.086766789698908
47,-0.041599561759888104,log10_SpVL_multiple,4.04516722793902
48,-0.08176694822762087,log10_SpVL_single,4.089250085846918
48,-0.08176694822762087,log10_SpVL_multiple,4.007483137619297
49,-0.024911431075867796,log10_SpVL_single,4.0853203340834385
49,-0.024911431075867796,log10_SpVL_multiple,4.060408903007571
50,-0.015178386313199788,log10_SpVL_single,4.084405279642859
50,-0.015178386313199788,log10_SpVL_multiple,4.06922689332966
51,-0.011201689696589412,log10_SpVL_single,4.084049640904415
51,-0.011201689696589412,log10_SpVL_multiple,4.072847951207826
52,0.037986703043296544,log10_SpVL_single,4.079783400341198
52,0.037986703043296544,log10_SpVL_multiple,4.117770103384495
53,-0.01929449945772177,log10_SpVL_single,4.0848400985562145
53,-0.01929449945772177,log10_SpVL_multiple,4.065545599098493
54,-0.004620795096048624,log10_SpVL_single,4.0834724120886685
54,-0.004620795096048624,log10_SpVL_multiple,4.07885161699262
55,-0.05455137950950295,log10_SpVL_single,4.087618078589812
55,-0.05455137950950295,log10_SpVL_multiple,4.033066699080309
56,-0.0017369259663011505,log10_SpVL_single,4.0832427133816624
56,-0.0017369259663011505,log10_SpVL_multiple,4.081505787415361
57,-0.012769558689040394,log10_SpVL_single,4.084251377723186
57,-0.012769558689040394,log10_SpVL_multiple,4.071481819034146
58,-0.08198007512961958,log10_SpVL_single,4.090290910106564
58,-0.08198007512961958,log10_SpVL_multiple,4.008310834976944
59,-0.054291839508507245,log10_SpVL_single,4.087358977529379
59,-0.054291839508507245,log10_SpVL_multiple,4.033067138020872
60,-0.02811476793864287,log10_SpVL_single,4.085766112608897
60,-0.02811476793864287,log10_SpVL_multiple,4.057651344670254
61,-0.05165901679683582,log10_SpVL_single,4.087388413234487
61,-0.05165901679683582,log10_SpVL_multiple,4.0357293964376515
62,-0.050800952150020784,log10_SpVL_single,4.0877402491151695
62,-0.050800952150020784,log10_SpVL_multiple,4.036939296965149
63,-0.0576728822513326,log10_SpVL_single,4.087913599056634
63,-0.0576728822513326,log10_SpVL_multiple,4.030240716805301
64,0.019003798246165715,log10_SpVL_single,4.081598823430103
64,0.019003798246165715,log10_SpVL_multiple,4.100602621676269
65,0.05425981857180773,log10_SpVL_single,4.078437498202874
65,0.05425981857180773,log10_SpVL_multiple,4.132697316774681
66,0.04670136049761009,log10_SpVL_single,4.07898739667444
66,0.04670136049761009,log10_SpVL_multiple,4.12568875717205
67,-0.00992822379342062,log10_SpVL_single,4.0839253258105686
67,-0.00992822379342062,log10_SpVL_multiple,4.073997102017148
68,0.02889053926351437,log10_SpVL_single,4.080513440946101
68,0.02889053926351437,log10_SpVL_multiple,4.109403980209615
69,0.007794491171494222,log10_SpVL_single,4.082442073498764
69,0.007794491171494222,log10_SpVL_multiple,4.090236564670258
70,-0.034520792427799485,log10_SpVL_single,4.086111256337273
70,-0.034520792427799485,log10_SpVL_multiple,4.0515904639094735
71,0.05131391391322104,log10_SpVL_single,4.078497314112091
71,0.05131391391322104,log10_SpVL_multiple,4.129811228025312
72,0.03878876137774778,log10_SpVL_single,4.079867260370513
72,0.03878876137774778,log10_SpVL_multiple,4.118656021748261
73,0.0017925112866974402,log10_SpVL_single,4.082934866107229
73,0.0017925112866974402,log10_SpVL_multiple,4.084727377393927
74,-0.04048764053371379,log10_SpVL_single,4.086389985811671
74,-0.04048764053371379,log10_SpVL_multiple,4.045902345277957
75,-0.05407401459993899,log10_SpVL_single,4.087623459310538
75,-0.05407401459993899,log10_SpVL_multiple,4.033549444710599
76,-0.07480077800570495,log10_SpVL_single,4.089207808867302
76,-0.07480077800570495,log10_SpVL_multiple,4.014407030861597
77,-0.05286108577131099,log10_SpVL_single,4.087433522018015
77,-0.05286108577131099,log10_SpVL_multiple,4.034572436246704
78,-0.08114913668636703,log10_SpVL_single,4.090217856768428
78,-0.08114913668636703,log10_SpVL_multiple,4.009068720082061
79,0.03490168214976119,log10_SpVL_single,4.079942343774606
79,0.03490168214976119,log10_SpVL_multiple,4.114844025924367
80,0.03270997974453582,log10_SpVL_single,4.0804666967885215
80,0.03270997974453582,log10_SpVL_multiple,4.113176676533057
81,0.023727600813414185,log10_SpVL_single,4.081036989597927
81,0.023727600813414185,log10_SpVL_multiple,4.1047645904113415
82,0.0026604624184702885,log10_SpVL_single,4.082852921758484
82,0.0026604624184702885,log10_SpVL_multiple,4.085513384176954
83,-0.007782504759560993,log10_SpVL_single,4.083772571110337
83,-0.007782504759560993,log10_SpVL_multiple,4.075990066350776
84,-0.015669299629483824,log10_SpVL_single,4.084467616635355
84,-0.015669299629483824,log10_SpVL_multiple,4.0687983170058715
85,-0.1125894291093914,log10_SpVL_single,4.0925363159870605
85,-0.1125894291093914,log10_SpVL_multiple,3.979946886877669
86,0.011448721792601368,log10_SpVL_single,4.082103198364593
86,0.011448721792601368,log10_SpVL_multiple,4.093551920157195
87,-0.06742992002955983,log10_SpVL_single,4.0884638408704435
87,-0.06742992002955983,log10_SpVL_multiple,4.021033920840884
88,0.02668089615090974,log10_SpVL_single,4.08074891675488
88,0.02668089615090974,log10_SpVL_multiple,4.10742981290579
89,-0.010526168125112534,log10_SpVL_single,4.083951904038407
89,-0.010526168125112534,log10_SpVL_multiple,4.073425735913294
90,0.05020756426631934,log10_SpVL_single,4.07902505038989
90,0.05020756426631934,log10_SpVL_multiple,4.1292326146562095
