multiplicity,time,0.01,0.5,0.99
multiple,100,1,1,1
multiple,200,1,1,1
multiple,300,1,1,1
multiple,400,1,1,1
multiple,500,1,1,1
multiple,600,1,1,1
multiple,700,1,1,1
multiple,800,1,1,1
multiple,900,1,1,1
multiple,1000,1,1,1
multiple,1100,0.9986431478968792,1,1
multiple,1200,0.9959403499172852,0.9986789960369881,1
multiple,1300,0.9938188349814586,0.9974921620236287,1
multiple,1400,0.9906164960325314,0.9960212131606025,1
multiple,1500,0.9856207268247613,0.9922928677264042,0.9986395294247604
multiple,1600,0.9796187310931846,0.9883720930232558,0.9960684588076292
multiple,1700,0.9695804866718172,0.9808917197452229,0.9902525609997413
multiple,1800,0.9536414793905837,0.9682741116751269,0.9805477287296688
multiple,1900,0.9457745707035324,0.9607975622681505,0.9746195753199399
multiple,2000,0.9227779300037365,0.94148244473342,0.9577496169678622
multiple,2100,0.8967992226580775,0.9189551461610285,0.9384657397219165
multiple,2200,0.8833105357732224,0.9072426937738246,0.9267352185089974
multiple,2300,0.8521732051206418,0.8793113475389787,0.9025678357402495
multiple,2400,0.8142476404813316,0.8432138031534265,0.871732974179943
multiple,2500,0.799175866362316,0.8272317331625545,0.8565518361252391
multiple,2600,0.7591038750804376,0.7893051311495618,0.8184291339784487
multiple,2700,0.7121342849854148,0.7456425869729959,0.7770271172373976
multiple,2800,0.687414774106307,0.7237715803452855,0.7551282226665263
multiple,2900,0.6447839100291416,0.6798762065718483,0.7122481067200558
multiple,3000,0.6033124105871778,0.638799038544081,0.6709081780784717
multiple,3100,0.5826450577663671,0.6207114521121235,0.6543547930939254
multiple,3200,0.54697390548136815,0.582537517053206,0.6181228582784587
multiple,3300,0.5033109972065338,0.5429500867591408,0.5794210868088889
multiple,3400,0.48504192935643675,0.5230265665828013,0.5608271616453688
multiple,3500,0.4473341627307817,0.4857916102841678,0.5257603794387611
multiple,3600,0.41847037182890173,0.4559486232704028,0.49424815560026825
multiple,3700,0.39999219765929783,0.4386422976501306,0.477692031660105
multiple,3800,0.36578466698941836,0.40303397994780366,0.4401553461706558
multiple,3900,0.3342245633273283,0.3720200002204055,0.40669811556971086
multiple,4000,0.32090468422439766,0.35811229445058446,0.3952914223266644
multiple,4100,0.2929154082798629,0.3287230657134858,0.3630491778995704
multiple,4200,0.2670271987977191,0.30323508894314616,0.3346187183835572
multiple,4300,0.2572762777977265,0.2892564992007456,0.3215637316717355
multiple,4400,0.23700805980989617,0.26894680965919315,0.3027210174083996
multiple,4500,0.21925677523203205,0.2506443341769461,0.2846055328888447
